threshold,di_ratio
0.3,0.4509
0.31,0.4616
0.32,0.4703
0.33,0.4808
0.34,0.4904
0.35,0.4999
0.36,0.5095
0.37,0.517
0.38,0.525
0.39,0.5334
0.4,0.5427
0.41,0.5517
0.42,0.5627
0.43,0.5725
0.44,0.5815
0.45,0.5919
0.46,0.6025
0.47,0.6119
0.48,0.6231
0.49,0.6337
0.5,0.6452
0.51,0.6572
0.52,0.6715
0.53,0.683
0.54,0.6981
0.55,0.7114
0.56,0.7248
0.57,0.7394
0.58,0.7524
0.59,0.7659
0.6,0.7791
0.61,0.7926
0.62,0.8056
0.63,0.8225
0.64,0.8359
0.65,0.8517
0.66,0.8646
0.67,0.8775
0.68,0.8918
0.69,0.9039
0.7,0.9189
0.71,0.931
0.72,0.9434
0.73,0.9558
0.74,0.9674
0.75,0.977
0.76,0.9869
0.77,0.998
0.78,1.0064
0.79,1.0139
0.8,1.0239
0.81,1.0322
0.82,1.0412
0.83,1.0491
0.84,1.0584
0.85,1.068
0.86,1.0756
0.87,1.0858
0.88,1.0972
0.89,1.1088
0.9,1.1216
0.91,1.1388
0.92,1.16
0.93,1.1866
0.94,1.2192
0.95,1.2537
